Player,stats_Nation,stats_Pos,stats_Squad,stats_Comp,stats_Age,stats_Born,stats_MP,stats_Starts,stats_90s,stats_Gls,stats_Gls2,stats_Ast,stats_Ast2,stats_G+A,stats_G+A2,stats_G-PK,stats_G-PK2,stats_PK,stats_PKatt,stats_CrdY,stats_CrdR,stats_G+A-PK,shooting_Age,shooting_Born,shooting_90s,shooting_Gls,shooting_Sh,shooting_SoT,shooting_SoT%,shooting_Sh/90,shooting_SoT/90,shooting_G/Sh,shooting_G/SoT,shooting_Dist,shooting_PK,shooting_PKatt,passing_Age,passing_Born,passing_90s,passing_TotDist,passing_PrgDist,passing_Ast,passing_A-xAG,passing_KP,passing_1/3,passing_PPA,passing_CrsPA,passing_types_Age,passing_types_Born,passing_types_90s,passing_types_Att,passing_types_Live,passing_types_Dead,passing_types_FK,passing_types_TB,passing_types_Sw,passing_types_Crs,passing_types_TI,passing_types_CK,passing_types_In,passing_types_Out,passing_types_Str,passing_types_Cmp,passing_types_Off,passing_types_Blocks,gca_Age,gca_Born,gca_90s,gca_SCA,gca_SCA90,gca_GCA,gca_GCA90,defense_Age,defense_Born,defense_90s,defense_TklW,defense_Def 3rd,defense_Mid 3rd,defense_Att 3rd,defense_Att,defense_Tkl%,defense_Lost,defense_Blocks,defense_Sh,defense_Pass,defense_Int,defense_Tkl+Int,defense_Clr,defense_Err,possession_Age,possession_Born,possession_90s,possession_Touches,possession_Def Pen,possession_Def 3rd,possession_Mid 3rd,possession_Att 3rd,possession_Att Pen,possession_Live,possession_Att,possession_Succ,possession_Succ%,possession_Tkld,possession_Tkld%,possession_Carries,possession_TotDist,possession_PrgDist,possession_1/3,possession_CPA,possession_Mis,possession_Dis,possession_Rec,playingtime_Age,playingtime_Born,playingtime_MP,playingtime_Mn/MP,playingtime_Min%,playingtime_90s,playingtime_Starts,playingtime_Mn/Start,playingtime_Compl,playingtime_Subs,playingtime_Mn/Sub,playingtime_unSub,playingtime_PPM,playingtime_onG,playingtime_onGA,playingtime_+/-,playingtime_+/-90,misc_Age,misc_Born,misc_90s,misc_CrdY,misc_CrdR,misc_2CrdY,misc_Fls,misc_Fld,misc_Off,misc_Crs,misc_Int,misc_TklW,misc_PKwon,misc_PKcon,misc_OG
Brian Aguilar,ar ARG,DF,Lanús,Primera Division Argentina,19,2003,4,0,0.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0,2,0,0.0,19,2003,0.6,-0.49808168509715733,-0.5646528113138414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,19,2003,0.6,237.0,147.0,0,0.0,1.0,1.0,0.0,0.0,19,2003,0.6,-0.36963617877850613,-0.3717767530180743,-0.24127655515336902,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,19,2003,0.6,1.0,1.73,0.0,0.0,19,2003,0.6,0.0,-0.3600600598727222,-0.3797453593702314,-0.3316251144282009,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0,19,2003,0.6,22.0,-0.13502752260505646,15.0,-0.38103556465384136,-0.3429767401683147,1.0,22.0,0.0,0.0,0.0,0.0,0.0,7.0,31.0,17.0,0.0,0.0,0.0,0.0,8.0,19,2003,4,13,2.1,0.6,0,0,0,4,13,21,1.0,0,3,-3,-5.4,19,2003,0.6,2,0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Felipe Aguilar,co COL,DF,Lanús,Primera Division Argentina,30,1993,15,12,13.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,3,0,0.0,30,1993,13.1,-0.49808168509715733,-0.23805831110995143,1.0,20.0,0.38,0.08,0.0,0.0,10.5,0,0,30,1993,13.1,9134.0,3294.0,0,-0.2,3.0,21.0,0.0,0.0,30,1993,13.1,1.6477218906118791,1.8398422539578918,0.06891681150881358,14.0,0.0,7.0,1.0,2.0,0.0,0.0,0.0,0.0,418.0,3.0,5.0,30,1993,13.1,6.0,0.46,0.0,0.0,30,1993,13.1,5.0,0.285517493812254,-0.007332011635083573,-0.3316251144282009,14.0,28.6,10.0,10.0,7.0,3.0,14.0,20.0,76.0,1.0,30,1993,13.1,665.0,1.5655350368453715,383.0,1.232636942633457,-0.16668768796005154,13.0,665.0,2.0,2.0,100.0,0.0,0.0,338.0,1685.0,1000.0,4.0,1.0,5.0,1.0,393.0,30,1993,15,79,48.5,13.1,12,90,12,3,33,8,1.53,17,15,2,0.15,30,1993,13.1,3,0,0,6.0,8.0,0.0,1.0,14.0,5.0,0.0,0.0,0
Emanuel Aguilera,ar ARG,DF,Tigre,Primera Division Argentina,33,1989,16,14,14.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,2,0,0.0,33,1989,14.0,-0.49808168509715733,-0.17273941106917343,2.0,33.3,0.43,0.14,0.0,0.0,16.8,0,0,33,1989,14.0,11438.0,4193.0,0,0.0,0.0,35.0,0.0,0.0,33,1989,14.0,2.286422128797252,2.47865650896091,0.5699984038092624,24.0,0.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,575.0,1.0,8.0,33,1989,14.0,4.0,0.29,1.0,0.07,33,1989,14.0,6.0,1.2538838243397183,-0.1935386855026575,0.35728512696686054,15.0,46.7,8.0,10.0,6.0,4.0,24.0,36.0,71.0,2.0,33,1989,14.0,839.0,1.3135998428527156,424.0,2.1072228053616873,-0.20194549840170417,6.0,839.0,5.0,5.0,100.0,0.0,0.0,435.0,2274.0,1280.0,3.0,1.0,8.0,1.0,464.0,33,1989,16,79,51.7,14.0,14,89,13,2,7,8,1.63,14,14,0,0.0,33,1989,14.0,2,0,0,7.0,4.0,0.0,3.0,24.0,6.0,0.0,1.0,0
Braian Aguirre,ar ARG,DF,Lanús,Primera Division Argentina,22,2000,17,14,14.2,0,0.0,1,0.07,1,0.07,0,0.0,0,0,3,0,0.07,22,2000,14.2,-0.49808168509715733,0.4804495893386065,3.0,18.8,1.13,0.21,0.0,0.0,30.0,0,0,22,2000,14.2,8503.0,3708.0,1,-0.6,9.0,46.0,13.0,10.0,22,2000,14.2,1.9826500642944527,1.5931277830601744,3.5049048729976056,10.0,2.0,15.0,31.0,145.0,5.0,0.0,1.0,0.0,442.0,1.0,21.0,22,2000,14.2,29.0,2.04,1.0,0.07,22,2000,14.2,28.0,4.481771592764599,1.10990803157036,1.7351056097569835,38.0,44.7,21.0,15.0,4.0,11.0,15.0,56.0,46.0,0.0,22,2000,14.2,806.0,0.44757261350296057,263.0,1.873178701251316,1.819502300253047,13.0,806.0,47.0,28.0,59.6,15.0,31.9,336.0,2190.0,1169.0,21.0,3.0,21.0,9.0,346.0,22,2000,17,75,52.6,14.2,14,88,13,3,15,5,1.65,23,18,5,0.35,22,2000,14.2,3,0,0,14.0,11.0,1.0,31.0,15.0,28.0,0.0,0.0,0
Brian Aguirre,ar ARG,FW,Newell's OB,Primera Division Argentina,19,2003,20,15,14.8,1,0.07,4,0.27,5,0.34,1,0.07,0,0,4,0,0.34,19,2003,14.8,-0.0947228025091405,1.7215086901133885,17.0,48.6,2.37,1.15,0.03,0.06,23.7,0,0,19,2003,14.8,4048.0,1302.0,4,2.1,19.0,20.0,20.0,7.0,19,2003,14.8,1.08301741172847,1.1173213034717195,0.5699984038092624,6.0,1.0,6.0,75.0,9.0,22.0,13.0,5.0,0.0,233.0,1.0,24.0,19,2003,14.8,55.0,3.72,7.0,0.47,19,2003,14.8,7.0,0.9310950474972302,0.5512880099676382,1.046195368361922,19.0,31.6,13.0,9.0,0.0,9.0,2.0,17.0,1.0,0.0,19,2003,14.8,607.0,-0.18226537147867947,57.0,0.9985928385230854,3.641155839738434,36.0,607.0,126.0,62.0,49.2,56.0,44.4,419.0,4066.0,2000.0,46.0,19.0,52.0,17.0,454.0,19,2003,20,67,54.8,14.8,15,82,8,5,21,2,1.15,16,16,0,0.0,19,2003,14.8,4,0,0,17.0,24.0,3.0,75.0,2.0,7.0,0.0,1.0,0
Jorge Agustín Rodríguez,ar ARG,"MF,DF",Estudiantes,Primera Division Argentina,27,1995,27,27,25.8,2,0.08,1,0.04,3,0.12,2,0.08,0,0,4,0,0.12,27,1995,25.8,0.30863608007887633,0.6110873894201625,5.0,27.8,0.7,0.19,0.11,0.4,24.6,0,0,27,1995,25.8,23978.0,10747.0,1,0.0,16.0,171.0,15.0,2.0,27,1995,25.8,5.764222815989556,6.329164501185998,0.9756358832905782,51.0,6.0,15.0,5.0,3.0,0.0,0.0,0.0,0.0,1254.0,3.0,27.0,27,1995,25.8,53.0,2.06,3.0,0.12,27,1995,25.8,39.0,3.5134052622371352,7.627141616935448,1.046195368361922,60.0,50.0,30.0,35.0,10.0,25.0,27.0,96.0,71.0,2.0,27,1995,25.8,1858.0,1.3135998428527156,521.0,6.898967884252978,1.5726976271614785,14.0,1858.0,24.0,19.0,79.2,4.0,16.7,947.0,3976.0,2186.0,21.0,1.0,27.0,18.0,1092.0,27,1995,27,86,95.5,25.8,27,86,22,0,0,0,1.67,32,21,11,0.43,27,1995,25.8,4,0,0,30.0,23.0,1.0,5.0,27.0,39.0,0.0,1.0,0
Gabriel Alanís,ar ARG,"FW,MF",Defensa y Just,Primera Division Argentina,28,1994,20,14,13.1,1,0.08,0,0.0,1,0.08,1,0.08,0,0,1,0,0.08,28,1994,13.1,-0.0947228025091405,1.7868275901541664,14.0,38.9,2.76,1.07,0.03,0.07,15.9,0,0,28,1994,13.1,2681.0,826.0,0,-1.2,16.0,15.0,12.0,3.0,28,1994,13.1,0.5261019601400048,0.6371092083315198,-0.24127655515336902,0.0,1.0,2.0,16.0,1.0,2.0,0.0,1.0,0.0,167.0,1.0,15.0,28,1994,13.1,35.0,2.68,0.0,0.0,28,1994,13.1,16.0,1.7380669896034504,0.923701357702786,2.4240158511520447,27.0,33.3,18.0,14.0,2.0,12.0,6.0,30.0,17.0,0.0,28,1994,13.1,451.0,0.16414552026122256,89.0,0.49355029807438905,2.2778538359945313,59.0,451.0,67.0,30.0,44.8,31.0,46.3,281.0,2355.0,1333.0,27.0,23.0,38.0,18.0,285.0,28,1994,20,59,48.4,13.1,14,71,5,6,31,0,1.65,13,12,1,0.08,28,1994,13.1,1,0,0,17.0,16.0,4.0,16.0,6.0,16.0,0.0,0.0,0
Maximiliano Alanís,ar ARG,DF,Atlé Tucumán,Primera Division Argentina,19,2003,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,19,2003,0.0,-0.49808168509715733,-0.5646528113138414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,19,2003,0.0,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,19,2003,0.0,-0.4241593698431111,-0.42023852408726875,-0.31285963976771886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,19,2003,0.0,0.0,0.0,0.0,0.0,19,2003,0.0,0.0,-0.3600600598727222,-0.3797453593702314,-0.3316251144282009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,2003,0.0,2.0,-0.21375727072776146,0.0,-0.4056717861391436,-0.3547293436488656,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,19,2003,1,2,0.1,0.0,0,0,0,1,2,3,0.0,0,0,0,0.0,19,2003,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Fernando Alarcón,ar ARG,DF,Instituto,Primera Division Argentina,28,1994,26,26,26.0,0,0.0,1,0.04,1,0.04,0,0.0,0,0,7,0,0.04,28,1994,26.0,-0.49808168509715733,0.7417251895017185,2.0,10.0,0.77,0.08,0.0,0.0,12.0,0,0,28,1994,26.0,14809.0,7406.0,1,0.4,7.0,72.0,4.0,1.0,28,1994,26.0,3.3690969227944083,3.5315986258279533,1.4289954191814604,66.0,0.0,15.0,1.0,4.0,0.0,0.0,0.0,0.0,682.0,4.0,11.0,28,1994,26.0,19.0,0.73,1.0,0.04,28,1994,26.0,29.0,4.6431659811858434,2.4133547486433775,0.35728512696686054,45.0,66.7,15.0,30.0,14.0,16.0,27.0,74.0,140.0,1.0,28,1994,26.0,1293.0,2.4000703669460446,686.0,2.9571724466046154,0.4797055034702468,34.0,1293.0,6.0,5.0,83.3,1.0,16.7,523.0,2598.0,1593.0,7.0,0.0,12.0,1.0,556.0,28,1994,26,90,96.3,26.0,26,90,26,0,0,0,1.19,24,35,-11,-0.42,28,1994,26.0,7,0,0,22.0,11.0,1.0,1.0,27.0,29.0,0.0,2.0,0
Lucas Albertengo,ar ARG,"FW,MF",Instituto,Primera Division Argentina,32,1991,11,0,2.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.0,32,1991,2.4,-0.49808168509715733,-0.04210161098761745,1.0,12.5,3.27,0.41,0.0,0.0,18.0,0,0,32,1991,2.4,731.0,150.0,0,-0.2,1.0,3.0,1.0,0.0,32,1991,2.4,-0.10480925075042466,-0.058978048844182666,-0.31285963976771886,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,3.0,32,1991,2.4,8.0,3.27,0.0,0.0,32,1991,2.4,5.0,0.12412310539100994,0.17887466223249035,0.35728512696686054,2.0,50.0,1.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,32,1991,2.4,125.0,-0.15077347222959744,10.0,0.019303034482320455,0.18589041645647486,14.0,125.0,8.0,4.0,50.0,4.0,50.0,63.0,263.0,97.0,4.0,0.0,12.0,2.0,93.0,32,1991,11,20,9.1,2.4,0,0,0,11,20,8,1.18,1,2,-1,-0.41,32,1991,2.4,1,0,0,4.0,7.0,1.0,2.0,0.0,5.0,0.0,0.0,0
