Player,stats_Nation,stats_Pos,stats_Squad,stats_Comp,stats_Age,stats_Born,stats_MP,stats_Starts,stats_90s,stats_Gls,stats_Gls2,stats_Ast,stats_Ast2,stats_G+A,stats_G+A2,stats_G-PK,stats_G-PK2,stats_PK,stats_PKatt,stats_CrdY,stats_CrdR,stats_G+A-PK,shooting_Age,shooting_Born,shooting_90s,shooting_Gls,shooting_Sh,shooting_SoT,shooting_SoT%,shooting_Sh/90,shooting_SoT/90,shooting_G/Sh,shooting_G/SoT,shooting_Dist,shooting_PK,shooting_PKatt,passing_Age,passing_Born,passing_90s,passing_TotDist,passing_PrgDist,passing_Ast,passing_A-xAG,passing_KP,passing_1/3,passing_PPA,passing_CrsPA,passing_types_Age,passing_types_Born,passing_types_90s,passing_types_Att,passing_types_Live,passing_types_Dead,passing_types_FK,passing_types_TB,passing_types_Sw,passing_types_Crs,passing_types_TI,passing_types_CK,passing_types_In,passing_types_Out,passing_types_Str,passing_types_Cmp,passing_types_Off,passing_types_Blocks,gca_Age,gca_Born,gca_90s,gca_SCA,gca_SCA90,gca_GCA,gca_GCA90,defense_Age,defense_Born,defense_90s,defense_TklW,defense_Def 3rd,defense_Mid 3rd,defense_Att 3rd,defense_Att,defense_Tkl%,defense_Lost,defense_Blocks,defense_Sh,defense_Pass,defense_Int,defense_Tkl+Int,defense_Clr,defense_Err,possession_Age,possession_Born,possession_90s,possession_Touches,possession_Def Pen,possession_Def 3rd,possession_Mid 3rd,possession_Att 3rd,possession_Att Pen,possession_Live,possession_Att,possession_Succ,possession_Succ%,possession_Tkld,possession_Tkld%,possession_Carries,possession_TotDist,possession_PrgDist,possession_1/3,possession_CPA,possession_Mis,possession_Dis,possession_Rec,playingtime_Age,playingtime_Born,playingtime_MP,playingtime_Mn/MP,playingtime_Min%,playingtime_90s,playingtime_Starts,playingtime_Mn/Start,playingtime_Compl,playingtime_Subs,playingtime_Mn/Sub,playingtime_unSub,playingtime_PPM,playingtime_onG,playingtime_onGA,playingtime_+/-,playingtime_+/-90,misc_Age,misc_Born,misc_90s,misc_CrdY,misc_CrdR,misc_2CrdY,misc_Fls,misc_Fld,misc_Off,misc_Crs,misc_Int,misc_TklW,misc_PKwon,misc_PKcon,misc_OG
Facundo Taborda,ar ARG,"FW,MF",Colón,Primera Division Argentina,22,2001,2,0,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,22,2001,0.2,-0.49808168509715733,-0.5646528113138414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,22,2001,0.2,73.0,31.0,0,0.0,0.0,0.0,0.0,0.0,22,2001,0.2,-0.40468680160575216,-0.4070216774320339,-0.2651375833581523,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,22,2001,0.2,1.0,6.43,0.0,0.0,22,2001,0.2,1.0,-0.3600600598727222,-0.1935386855026575,-0.3316251144282009,1.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,22,2001,0.2,11.0,-0.21375727072776146,1.0,-0.3563993431685391,-0.3547293436488656,0.0,11.0,2.0,1.0,50.0,1.0,50.0,5.0,53.0,21.0,0.0,0.0,1.0,0.0,5.0,22,2001,2,7,0.6,0.2,0,0,0,2,7,2,1.0,0,0,0,0.0,22,2001,0.2,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
Vicente Taborda,ar ARG,"MF,FW",Platense,Primera Division Argentina,21,2001,25,20,19.7,2,0.1,3,0.15,5,0.25,1,0.05,1,1,5,0,0.2,21,2001,19.7,0.30863608007887633,1.0683196897056084,5.0,20.0,1.27,0.25,0.04,0.2,24.6,1,1,21,2001,19.7,8009.0,2933.0,3,0.7,36.0,65.0,19.0,1.0,21,2001,19.7,2.5862996796525795,2.4874677400643996,2.2879924345536584,43.0,5.0,8.0,82.0,10.0,49.0,10.0,34.0,0.0,497.0,4.0,37.0,21,2001,19.7,86.0,4.37,8.0,0.41,21,2001,19.7,26.0,1.7380669896034504,3.1581814441136733,1.7351056097569835,36.0,36.1,23.0,23.0,0.0,23.0,8.0,43.0,1.0,0.0,21,2001,19.7,1091.0,-0.16651942185413846,111.0,3.0680354432884758,4.839921394754623,28.0,1090.0,147.0,88.0,59.9,49.0,33.3,626.0,3955.0,1877.0,40.0,13.0,85.0,47.0,670.0,21,2001,25,71,73.0,19.7,20,82,5,5,28,0,1.28,18,22,-4,-0.2,21,2001,19.7,5,0,0,22.0,48.0,1.0,82.0,8.0,26.0,1.0,0.0,0
Matías Tagliamonte,ar ARG,GK,Racing Club,Primera Division Argentina,24,1998,4,3,3.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,24,1998,3.3,-0.49808168509715733,-0.5646528113138414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,24,1998,3.3,1784.0,1468.0,0,0.0,0.0,1.0,0.0,0.0,24,1998,3.3,-0.046391546038347865,-0.16471282208606153,0.617720460218829,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,24,1998,3.3,0.0,0.0,0.0,0.0,24,1998,3.3,0.0,-0.3600600598727222,-0.3797453593702314,-0.3316251144282009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,24,1998,3.3,104.0,1.1246484473582237,103.0,-0.39951273076781807,-0.37823455060996736,0.0,104.0,0.0,0.0,0.0,0.0,0.0,46.0,294.0,141.0,0.0,0.0,0.0,0.0,34.0,24,1998,4,74,12.2,3.3,3,90,3,1,26,23,1.25,4,5,-1,-0.3,24,1998,3.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Iván Tapia,ar ARG,MF,Barracas Central,Primera Division Argentina,24,1998,27,27,26.8,4,0.15,4,0.15,8,0.3,1,0.04,3,3,4,0,0.19,24,1998,26.8,1.11535384525491,1.9827842902765005,13.0,33.3,1.46,0.49,0.03,0.08,30.2,3,3,24,1998,26.8,16250.0,5966.0,4,1.7,36.0,89.0,17.0,8.0,24,1998,26.8,4.81396148600644,4.447966660590903,5.318343016561134,122.0,3.0,16.0,159.0,21.0,93.0,39.0,36.0,0.0,963.0,4.0,34.0,24,1998,26.8,71.0,2.65,7.0,0.26,24,1998,26.8,22.0,1.2538838243397183,3.530594791848821,4.490746575337229,59.0,35.6,38.0,20.0,1.0,19.0,12.0,50.0,15.0,0.0,24,1998,26.8,1540.0,0.08541577213851756,236.0,4.903433943943495,5.016210446962886,22.0,1537.0,24.0,5.0,20.8,16.0,66.7,741.0,2411.0,1016.0,17.0,2.0,31.0,22.0,937.0,24,1998,27,89,99.2,26.8,27,89,22,0,0,0,1.3,25,30,-5,-0.19,24,1998,26.8,4,0,0,24.0,29.0,3.0,159.0,12.0,22.0,0.0,0.0,0
Cristian Tarragona,ar ARG,FW,Gimnasia–LP,Primera Division Argentina,31,1991,19,15,15.2,5,0.33,1,0.07,6,0.4,4,0.26,1,2,6,0,0.33,31,1991,15.2,1.5187127278429269,2.048103190317278,15.0,37.5,2.64,0.99,0.1,0.27,18.6,1,2,31,1991,15.2,3616.0,467.0,1,0.4,15.0,18.0,10.0,1.0,31,1991,15.2,0.9973381114840908,1.0468314546438005,0.42683223458056274,0.0,0.0,5.0,7.0,1.0,0.0,0.0,0.0,0.0,249.0,1.0,20.0,31,1991,15.2,30.0,1.98,0.0,0.0,31,1991,15.2,10.0,-0.19866567145147818,1.4823213793055077,5.868567058127352,12.0,33.3,8.0,15.0,2.0,13.0,0.0,20.0,10.0,0.0,31,1991,15.2,612.0,0.006686024015812555,34.0,1.3188637178320148,3.1592990970358477,64.0,610.0,48.0,15.0,31.3,31.0,64.6,389.0,1627.0,342.0,14.0,5.0,82.0,48.0,486.0,31,1991,19,72,56.1,15.2,15,82,8,4,35,0,1.35,12,16,-4,-0.26,31,1991,15.2,6,0,0,29.0,35.0,13.0,7.0,0.0,10.0,0.0,0.0,0
Renzo Tesuri,ar ARG,"DF,MF",Atlé Tucumán,Primera Division Argentina,26,1996,26,19,19.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0,4,0,0.0,26,1996,19.6,-0.49808168509715733,0.4804495893386065,4.0,25.0,0.82,0.2,0.0,0.0,20.2,0,0,26,1996,19.6,8685.0,3632.0,0,-0.5,7.0,68.0,11.0,3.0,26,1996,19.6,2.6096667615374103,2.509495817823124,2.2879924345536584,9.0,0.0,10.0,32.0,100.0,0.0,0.0,0.0,0.0,534.0,5.0,43.0,26,1996,19.6,31.0,1.58,2.0,0.1,26,1996,19.6,40.0,3.836194039079623,5.0202481827894125,4.490746575337229,78.0,50.0,39.0,49.0,6.0,43.0,14.0,76.0,46.0,1.0,26,1996,19.6,1044.0,0.5735402104992885,295.0,2.7292873978655696,2.595174129969405,23.0,1044.0,39.0,20.0,51.3,16.0,41.0,511.0,2394.0,1120.0,22.0,6.0,32.0,23.0,554.0,26,1996,26,68,72.6,19.6,19,82,7,7,29,1,1.38,20,16,4,0.2,26,1996,19.6,4,0,0,12.0,33.0,0.0,32.0,14.0,40.0,0.0,0.0,0
Horacio Tijanovich,ar ARG,MF,Banfield,Primera Division Argentina,26,1996,6,1,1.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.0,26,1996,1.5,-0.49808168509715733,-0.23805831110995143,2.0,40.0,3.36,1.34,0.0,0.0,15.0,0,0,26,1996,1.5,384.0,168.0,0,-0.2,4.0,5.0,2.0,1.0,26,1996,1.5,-0.22164466017457823,-0.1955521309482762,-0.2889986115629356,1.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,2.0,26,1996,1.5,7.0,4.67,0.0,0.0,26,1996,1.5,0.0,-0.3600600598727222,-0.3797453593702314,-0.3316251144282009,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,1996,1.5,65.0,-0.21375727072776146,3.0,-0.25785445722733,0.08011698513151694,5.0,65.0,3.0,3.0,100.0,0.0,0.0,39.0,200.0,113.0,1.0,0.0,3.0,2.0,48.0,26,1996,6,22,5.5,1.5,1,77,0,5,11,6,0.83,2,5,-3,-2.01,26,1996,1.5,1,0,0,2.0,5.0,1.0,11.0,0.0,0.0,0.0,0.0,0
Fernando Tobio,ar ARG,DF,Huracán,Primera Division Argentina,33,1989,20,19,18.6,1,0.05,0,0.0,1,0.05,1,0.05,0,0,3,1,0.05,33,1989,18.6,-0.0947228025091405,0.023217289053160544,3.0,33.3,0.48,0.16,0.11,0.33,7.5,0,0,33,1989,18.6,12440.0,4777.0,0,-0.4,5.0,47.0,1.0,0.0,33,1989,18.6,2.6135612751848822,2.910406833031915,0.18822195253272997,20.0,0.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,575.0,3.0,11.0,33,1989,18.6,8.0,0.43,0.0,0.0,33,1989,18.6,11.0,2.867827708552159,0.5512880099676382,-0.3316251144282009,18.0,72.2,5.0,14.0,9.0,5.0,24.0,49.0,75.0,0.0,33,1989,18.6,947.0,1.0459186992355185,515.0,2.0456322516484318,0.06836438165096606,26.0,947.0,5.0,5.0,100.0,0.0,0.0,432.0,2524.0,1450.0,1.0,0.0,8.0,0.0,480.0,33,1989,20,84,69.0,18.6,19,86,17,1,45,1,1.15,15,19,-4,-0.21,33,1989,18.6,3,1,0,12.0,2.0,0.0,1.0,24.0,11.0,0.0,1.0,0
Gastón Togni,ar ARG,"FW,MF",Defensa y Just,Primera Division Argentina,25,1997,19,16,14.6,4,0.27,5,0.34,9,0.61,4,0.27,0,0,0,0,0.61,25,1997,14.6,1.11535384525491,1.8521464901949445,16.0,43.2,2.53,1.09,0.11,0.25,21.1,0,0,25,1997,14.6,4465.0,1317.0,5,1.2,38.0,6.0,25.0,13.0,25,1997,14.6,1.3673169079939105,1.368441389921182,0.880191770471445,10.0,1.0,1.0,117.0,3.0,37.0,8.0,24.0,0.0,278.0,4.0,25.0,25,1997,14.6,74.0,4.82,8.0,0.52,25,1997,14.6,2.0,-0.19866567145147818,0.36508133610006427,-0.3316251144282009,16.0,18.8,13.0,20.0,2.0,18.0,3.0,8.0,12.0,0.0,25,1997,14.6,634.0,0.05392387288943556,65.0,0.45659596584643564,4.804663584312971,63.0,634.0,70.0,32.0,45.7,34.0,48.6,379.0,2339.0,1041.0,27.0,12.0,30.0,22.0,453.0,25,1997,19,69,54.2,14.6,16,79,6,3,17,1,1.58,23,16,7,0.48,25,1997,14.6,0,0,0,8.0,15.0,13.0,117.0,3.0,2.0,0.0,0.0,0
Agustín Toledo,ar ARG,MF,Rosario Central,Primera Division Argentina,22,2000,11,4,5.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.0,22,2000,5.4,-0.49808168509715733,-0.17273941106917343,0.0,0.0,1.12,0.0,0.0,0.0,28.0,0,0,22,2000,5.4,3385.0,1306.0,0,-0.1,2.0,17.0,1.0,1.0,22,2000,5.4,0.5455745283773636,0.6547316705384997,-0.19355449874380246,5.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,181.0,0.0,7.0,22,2000,5.4,6.0,1.12,0.0,0.0,22,2000,5.4,11.0,0.44691188223349804,1.4823213793055077,-0.3316251144282009,24.0,45.8,13.0,9.0,0.0,9.0,12.0,27.0,10.0,0.0,22,2000,5.4,310.0,0.022431973640353556,71.0,0.9431613401811554,-0.08441946359619537,2.0,310.0,2.0,1.0,50.0,1.0,50.0,148.0,640.0,328.0,1.0,0.0,4.0,2.0,166.0,22,2000,11,44,19.9,5.4,4,89,3,7,18,16,1.0,5,9,-4,-0.74,22,2000,5.4,1,0,0,10.0,6.0,0.0,2.0,12.0,11.0,0.0,0.0,0
Javier Toledo,ar ARG,FW,Sarmiento,Primera Division Argentina,36,1986,26,17,17.7,4,0.23,2,0.11,6,0.34,3,0.17,1,2,7,0,0.28,36,1986,17.7,1.11535384525491,2.570654390643502,12.0,25.0,2.72,0.68,0.06,0.25,15.8,1,2,36,1986,17.7,2152.0,525.0,2,-0.2,22.0,22.0,6.0,0.0,36,1986,17.7,1.0713338707860547,1.2010279989548738,-0.026527301310319523,0.0,0.0,0.0,9.0,3.0,0.0,0.0,0.0,0.0,163.0,4.0,10.0,36,1986,17.7,40.0,2.26,5.0,0.28,36,1986,17.7,6.0,-0.3600600598727222,1.2961147054379338,0.35728512696686054,13.0,7.7,12.0,8.0,2.0,6.0,1.0,11.0,12.0,0.0,36,1986,17.7,580.0,0.006686024015812555,19.0,1.1279330013209223,3.3473407527246617,102.0,578.0,19.0,12.0,63.2,7.0,36.8,263.0,937.0,318.0,11.0,1.0,52.0,26.0,445.0,36,1986,26,61,65.5,17.7,17,81,8,9,23,0,1.04,13,17,-4,-0.23,36,1986,17.7,7,0,0,36.0,32.0,20.0,9.0,1.0,6.0,1.0,0.0,0
Nicolás Tolosa,ar ARG,"MF,DF",Barracas Central,Primera Division Argentina,21,2001,7,1,1.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,21,2001,1.8,-0.49808168509715733,-0.4993339112730634,0.0,0.0,0.55,0.0,0.0,0.0,29.9,0,0,21,2001,1.8,900.0,346.0,0,-0.1,2.0,2.0,1.0,1.0,21,2001,1.8,-0.11649279169284002,-0.120656666568612,-0.0503883295151028,0.0,0.0,0.0,7.0,11.0,0.0,0.0,0.0,0.0,57.0,0.0,7.0,21,2001,1.8,3.0,1.65,0.0,0.0,21,2001,1.8,2.0,-0.19866567145147818,-0.1935386855026575,-0.3316251144282009,5.0,20.0,4.0,0.0,0.0,0.0,6.0,8.0,5.0,0.0,21,2001,1.8,101.0,-0.10353562335597445,26.0,-0.1531505159147954,0.03310657120931342,3.0,101.0,0.0,0.0,0.0,0.0,0.0,45.0,223.0,113.0,4.0,0.0,3.0,1.0,57.0,21,2001,7,23,6.7,1.8,1,73,0,6,15,7,1.57,1,3,-2,-1.1,21,2001,1.8,0,0,0,0.0,0.0,0.0,7.0,6.0,2.0,0.0,0.0,0
Santiago Toloza,ar ARG,"MF,FW",Arsenal,Primera Division Argentina,20,2002,23,18,18.3,4,0.22,1,0.05,5,0.27,4,0.22,0,0,7,0,0.27,20,2002,18.3,1.11535384525491,1.2642763898279425,15.0,53.6,1.53,0.82,0.14,0.27,22.4,0,0,20,2002,18.3,7761.0,2120.0,1,-1.2,28.0,53.0,18.0,7.0,20,2002,18.3,2.146219637488268,2.2363476536149376,0.9517748550857948,14.0,2.0,6.0,61.0,5.0,33.0,11.0,17.0,0.0,501.0,4.0,10.0,20,2002,18.3,67.0,3.66,2.0,0.11,20,2002,18.3,9.0,0.12412310539100994,1.4823213793055077,1.046195368361922,20.0,10.0,18.0,12.0,1.0,11.0,6.0,21.0,5.0,0.0,20,2002,18.3,890.0,-0.07204372410689246,79.0,2.3905393524426635,4.040744358077164,31.0,890.0,87.0,45.0,51.7,34.0,39.1,551.0,3730.0,1729.0,48.0,8.0,56.0,34.0,628.0,20,2002,23,72,67.9,18.3,18,82,6,5,34,0,0.83,11,19,-8,-0.44,20,2002,18.3,7,0,0,17.0,44.0,1.0,61.0,6.0,9.0,0.0,0.0,0
Gerónimo Tomasetti,ar ARG,MF,Belgrano,Primera Division Argentina,22,2000,5,0,0.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,22,2000,0.6,-0.49808168509715733,-0.4993339112730634,0.0,0.0,1.67,0.0,0.0,0.0,34.2,0,0,22,2000,0.6,281.0,88.0,0,0.0,0.0,2.0,0.0,0.0,22,2000,0.6,-0.3267965286563165,-0.31009813529364494,-0.31285963976771886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,2.0,22,2000,0.6,1.0,1.7,0.0,0.0,22,2000,0.6,1.0,-0.3600600598727222,-0.007332011635083573,-0.3316251144282009,3.0,33.3,2.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,22,2000,0.6,40.0,-0.15077347222959744,13.0,-0.29480878945528344,-0.27246111928500943,0.0,40.0,1.0,1.0,100.0,0.0,0.0,19.0,74.0,37.0,1.0,0.0,5.0,2.0,26.0,22,2000,5,11,2.2,0.6,0,0,0,5,11,4,2.0,1,0,1,1.67,22,2000,0.6,0,0,0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
Fernando Torrent,ar ARG,DF,Huracán,Primera Division Argentina,31,1991,9,8,7.5,0,0.0,1,0.13,1,0.13,0,0.0,0,0,2,0,0.13,31,1991,7.5,-0.49808168509715733,-0.23805831110995143,1.0,20.0,0.66,0.13,0.0,0.0,20.4,0,0,31,1991,7.5,4007.0,1504.0,1,0.8,6.0,27.0,9.0,5.0,31,1991,7.5,0.829874024642804,0.7252215193664189,1.1665241089288443,4.0,0.0,2.0,38.0,58.0,0.0,0.0,0.0,0.0,218.0,0.0,9.0,31,1991,7.5,11.0,1.46,2.0,0.27,31,1991,7.5,6.0,0.285517493812254,0.17887466223249035,-0.3316251144282009,15.0,40.0,9.0,8.0,2.0,6.0,3.0,10.0,20.0,0.0,31,1991,7.5,392.0,0.03817792326489456,113.0,0.6721629038428305,0.9145518322506294,9.0,392.0,22.0,17.0,77.3,5.0,22.7,208.0,1118.0,705.0,10.0,0.0,13.0,6.0,209.0,31,1991,9,75,27.9,7.5,8,83,3,1,12,12,0.89,6,8,-2,-0.27,31,1991,7.5,2,0,0,8.0,4.0,0.0,38.0,3.0,6.0,0.0,0.0,0
Cristian Torres,ar ARG,"FW,MF",Cen. Córdoba–SdE,Primera Division Argentina,23,1999,20,7,8.1,1,0.12,0,0.0,1,0.12,1,0.12,0,0,1,0,0.12,23,1999,8.1,-0.0947228025091405,-0.17273941106917343,3.0,50.0,0.74,0.37,0.17,0.33,11.0,0,0,23,1999,8.1,1643.0,485.0,0,-0.3,7.0,12.0,7.0,1.0,23,1999,8.1,0.25348600481697964,0.3154992730541383,-0.16969347053901918,0.0,0.0,3.0,12.0,1.0,1.0,0.0,1.0,0.0,117.0,1.0,6.0,23,1999,8.1,21.0,2.58,0.0,0.0,23,1999,8.1,9.0,0.6083062706547421,0.923701357702786,0.35728512696686054,21.0,33.3,14.0,8.0,0.0,8.0,1.0,15.0,7.0,0.0,23,1999,8.1,275.0,-0.05629777448235145,36.0,0.34573296916257545,1.043830470536689,20.0,275.0,15.0,5.0,33.3,9.0,60.0,141.0,735.0,289.0,8.0,3.0,41.0,18.0,183.0,23,1999,20,37,30.2,8.1,7,69,1,13,19,7,1.2,5,12,-7,-0.86,23,1999,8.1,1,0,0,9.0,4.0,4.0,12.0,1.0,9.0,0.0,0.0,0
Franco Torres,ar ARG,"FW,MF",Gimnasia–LP,Primera Division Argentina,23,1999,14,4,5.9,1,0.17,1,0.17,2,0.34,1,0.17,0,0,1,1,0.34,23,1999,5.9,-0.0947228025091405,0.023217289053160544,3.0,33.3,1.53,0.51,0.11,0.33,21.9,0,0,23,1999,5.9,1078.0,433.0,1,0.6,6.0,5.0,5.0,2.0,23,1999,5.9,0.10549448621305178,0.12605780432910532,-0.026527301310319523,3.0,0.0,1.0,29.0,3.0,5.0,1.0,3.0,0.0,72.0,0.0,7.0,23,1999,5.9,17.0,2.89,3.0,0.51,23,1999,5.9,5.0,0.12412310539100994,0.5512880099676382,1.046195368361922,13.0,38.5,8.0,3.0,0.0,3.0,0.0,10.0,3.0,0.0,23,1999,5.9,209.0,-0.18226537147867947,22.0,0.031621145224971586,1.0320778670561381,18.0,209.0,22.0,10.0,45.5,9.0,40.9,124.0,699.0,355.0,10.0,1.0,21.0,11.0,144.0,23,1999,14,38,21.8,5.9,4,80,2,10,21,2,1.14,8,10,-2,-0.34,23,1999,5.9,1,1,0,10.0,11.0,1.0,29.0,0.0,5.0,0.0,0.0,0
Nicolás Tripichio,ar ARG,"MF,DF",Defensa y Just,Primera Division Argentina,27,1996,14,7,9.1,1,0.11,0,0.0,1,0.11,1,0.11,0,0,0,0,0.11,27,1996,9.1,-0.0947228025091405,-0.10742051102839545,2.0,28.6,0.77,0.22,0.14,0.5,18.4,0,0,27,1996,9.1,4843.0,1457.0,0,-1.2,10.0,28.0,13.0,3.0,27,1996,9.1,1.0752283844335266,1.1085100723682297,0.5938594320140457,1.0,0.0,2.0,15.0,37.0,0.0,0.0,0.0,0.0,318.0,0.0,10.0,27,1996,9.1,25.0,2.99,2.0,0.24,27,1996,9.1,11.0,0.7697006590759861,1.10990803157036,3.1129260925471067,16.0,56.3,7.0,13.0,2.0,11.0,10.0,30.0,13.0,0.0,27,1996,9.1,493.0,0.05392387288943556,117.0,1.0540243368650155,1.3258929540699103,16.0,493.0,26.0,13.0,50.0,13.0,50.0,264.0,1470.0,697.0,21.0,2.0,16.0,13.0,297.0,27,1996,14,59,33.7,9.1,7,89,6,7,28,4,1.71,17,8,9,0.99,27,1996,9.1,0,0,0,10.0,12.0,2.0,15.0,10.0,11.0,0.0,0.0,0
Natanael Troncoso,ar ARG,"MF,FW",Colón,Primera Division Argentina,21,2001,10,1,3.2,1,0.31,1,0.31,2,0.62,1,0.31,0,0,1,0,0.62,21,2001,3.2,-0.0947228025091405,0.21917398917549452,5.0,41.7,3.72,1.55,0.08,0.2,20.2,0,0,21,2001,3.2,1202.0,282.0,1,0.8,4.0,5.0,2.0,0.0,21,2001,3.2,-0.0035518959161582216,0.05116233994944114,-0.2889986115629356,0.0,0.0,1.0,5.0,0.0,1.0,0.0,1.0,0.0,75.0,0.0,10.0,21,2001,3.2,10.0,3.12,1.0,0.31,21,2001,3.2,8.0,-0.19866567145147818,1.2961147054379338,0.35728512696686054,14.0,42.9,8.0,5.0,1.0,4.0,1.0,12.0,3.0,0.0,21,2001,3.2,165.0,-0.15077347222959744,19.0,0.16096130802280847,0.2799112443008819,8.0,165.0,14.0,5.0,35.7,9.0,64.3,93.0,436.0,190.0,2.0,1.0,9.0,5.0,113.0,21,2001,10,29,11.9,3.2,1,80,0,9,23,7,0.7,3,5,-2,-0.62,21,2001,3.2,1,0,0,4.0,5.0,2.0,5.0,1.0,8.0,0.0,0.0,0
Franco Troyansky,ar ARG,FW,Lanús,Primera Division Argentina,25,1997,24,13,11.3,5,0.44,1,0.09,6,0.53,5,0.44,0,1,1,0,0.53,25,1997,11.3,1.5187127278429269,1.1989574897871644,14.0,51.9,2.39,1.24,0.19,0.36,17.6,0,1,25,1997,11.3,2794.0,660.0,1,-0.6,10.0,17.0,5.0,2.0,25,1997,11.3,0.5962032057944969,0.720815903814674,-0.24127655515336902,0.0,2.0,4.0,15.0,3.0,0.0,0.0,0.0,0.0,172.0,0.0,17.0,25,1997,11.3,30.0,2.65,3.0,0.27,25,1997,11.3,9.0,0.44691188223349804,1.10990803157036,1.046195368361922,15.0,33.3,10.0,10.0,0.0,10.0,8.0,23.0,8.0,0.0,25,1997,11.3,428.0,-0.11928157298051545,58.0,0.6721629038428305,1.9722861455002085,43.0,427.0,47.0,18.0,38.3,28.0,59.6,235.0,1182.0,457.0,13.0,6.0,41.0,20.0,291.0,25,1997,24,42,41.9,11.3,13,66,1,11,15,3,1.67,19,12,7,0.62,25,1997,11.3,1,0,0,17.0,12.0,10.0,15.0,8.0,9.0,1.0,0.0,0
Silvio Ulariaga,ar ARG,"MF,FW",Godoy Cruz,Primera Division Argentina,20,2002,5,1,1.0,1,0.97,0,0.0,1,0.97,1,0.97,0,0,0,0,0.97,20,2002,1.0,-0.0947228025091405,-0.4340150112322854,2.0,100.0,1.94,1.94,0.5,0.5,20.1,0,0,20,2002,1.0,193.0,37.0,0,-0.1,1.0,1.0,0.0,0.0,20,2002,1.0,-0.354058124188619,-0.34093744415585964,-0.31285963976771886,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,2.0,20,2002,1.0,2.0,1.91,0.0,0.0,20,2002,1.0,0.0,-0.3600600598727222,-0.3797453593702314,-0.3316251144282009,1.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,20,2002,1.0,29.0,-0.19801132110322045,1.0,-0.28864973408395783,-0.27246111928500943,2.0,29.0,2.0,1.0,50.0,0.0,0.0,15.0,69.0,19.0,0.0,0.0,4.0,4.0,20.0,20,2002,5,19,3.8,1.0,1,33,0,4,15,6,1.2,1,1,0,0.0,20,2002,1.0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
Ezequiel Unsain,ar ARG,GK,Defensa y Just,Primera Division Argentina,27,1995,21,21,21.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,27,1995,21.0,-0.49808168509715733,-0.5646528113138414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,27,1995,21.0,18058.0,10834.0,0,-0.2,2.0,17.0,1.0,0.0,27,1995,21.0,2.726502170961564,1.9720107205102404,5.9387297498855,49.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,649.0,4.0,0.0,27,1995,21.0,5.0,0.24,0.0,0.0,27,1995,21.0,0.0,-0.3600600598727222,-0.3797453593702314,-0.3316251144282009,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,7.0,0.0,27,1995,21.0,852.0,10.115585682971135,841.0,-0.34408123242588795,-0.36648194712941645,1.0,852.0,0.0,0.0,0.0,0.0,0.0,477.0,2921.0,1893.0,0.0,0.0,1.0,0.0,362.0,27,1995,21,90,77.8,21.0,21,90,21,0,0,0,1.57,26,16,10,0.48,27,1995,21.0,0,0,0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0
